id_fkt,fkt,firaisana,distrika
102010008,Ambodivoanjo,Alasora,Antananarivo Avaradrano
103130025,Ambodivoanjo,Ambohitrimanjaka,Ambohidratrimo
117190003,Ambodivoanjo,Ankaraobato,Antananarivo Atsimondrano
117290002,Ambodivoanjo,Ankadimanga,Antananarivo Atsimondrano
103310018,Ambodivato,Mahabo,Ambohidratrimo
115010003,Ambodivato,Andramasina,Andramasina
115091005,Ambodivato,Ambohimiadana,Andramasina
101005011,Amboditsiry,5e Arrondissement,5e Arrondissement
102319022,Ambodisiarivo,Ambohimanga Rova,Antananarivo Avaradrano
103010007,Ambodisaha,Ambohidratrimo,Ambohidratrimo
101004002,Ambodirano Ampefiloha,4e Arrondissement,4e Arrondissement
103111004,Ambodirano,Ivato Firaisana,Ambohidratrimo
101006012,Ambodimita,6e Arrondissement,6e Arrondissement
103390003,Ambodimanga,Ambato,Ambohidratrimo
107230006,Ambodimanga,Ambatomanoina,Anjozorobe
107370003,Ambodimadiro,Beronono,Anjozorobe
101006029,Ambodihady,6e Arrondissement,6e Arrondissement
103150003,Ambodifiakarana,Mahitsy,Ambohidratrimo
107019018,Ambodifiakarana,Anjozorobe,Anjozorobe
103172008,Ambodifasina,Ambatolampy,Ambohidratrimo
117110005,Ambodifasika,Itaosy,Antananarivo Atsimondrano
102379022,Ambodifahitra,Talata Volonondry,Antananarivo Avaradrano
106150004,Ambodifahitra,Miadanandriana,Manjakandriana
117070002,Ambodiamberivatry,Bemasoandro,Antananarivo Atsimondrano
102379014,Ambodiala,Talata Volonondry,Antananarivo Avaradrano
106230008,Ambodiala,Ambohitrandriamanitra,Manjakandriana
117350011,Ambodiakondro,Ambohijanaka,Antananarivo Atsimondrano
117011003,Ambodiafontsy,Ampitatafika,Antananarivo Atsimondrano
101006009,Amboavahy,6e Arrondissement,6e Arrondissement
106251009,Amboatavo,Ambatomena,Manjakandriana
117130002,Amboatavo,Ambavahaditokana,Antananarivo Atsimondrano
103171016,Amboatany,Merimandroso,Ambohidratrimo
107270001,Amboasary Nord,Amboasary Nord,Anjozorobe
103090005,Amboasary,Iarinarivo,Ambohidratrimo
117230004,Amboasary,Antanetikely,Antananarivo Atsimondrano
101001008,Amboasarikely Ambatomena,1er Arrondissement,1er Arrondissement
107019020,Amboasarianala,Anjozorobe,Anjozorobe
102010013,Amboaroy,Alasora,Antananarivo Avaradrano
103070006,Amboaroy,Antehiroka,Ambohidratrimo
106390019,Amboarakely,Sadabe,Manjakandriana
107070010,Amboarakely,Mangamila,Anjozorobe
105130004,Amboara,Imerintsiatosika,Arivonimamo
107099008,Amboanonoka,Ambongamarina,Anjozorobe
115071007,Amboanjobe II,Alatsinainy Bakaro,Andramasina
115071006,Amboanjobe I,Alatsinainy Bakaro,Andramasina
106130009,Amboanjobe,Ranovao,Manjakandriana
115031005,Amboanjobe,Sabotsy Ambohitromby,Andramasina
117390005,Amboanjobe,Bongatsara,Antananarivo Atsimondrano
104030003,Amboanjo,Talata Angavo,Ankazobe
106030010,Amboanemba,Sambaina,Manjakandriana
106390020,Amboanemba,Sadabe,Manjakandriana
106352007,Amboahangy,Soavinandriana,Manjakandriana
103330002,Ambilany,Mahereza,Ambohidratrimo
115050005,Ambika,Mandrosoa,Andramasina
117330002,Ambihivy,Soavina,Antananarivo Atsimondrano
103150002,Amberomanga,Mahitsy,Ambohidratrimo
117390004,Amberokely,Bongatsara,Antananarivo Atsimondrano
104030008,Amberobe,Talata Angavo,Ankazobe
